"NAME";"PID";"STATE";"PARENT ID";"PRIORITY";"USER ID";"MEMORY (KB)";"CPU TIME";"NICE VALUE"
"systemd";"1";"S";"0";"20";"0";"13416";"0ns";"0"
"kthreadd";"2";"S";"0";"20";"0";"0";"0ns";"0"
"rcu_gp";"3";"I";"2";"0";"0";"0";"0ns";"-20"
"rcu_par_gp";"4";"I";"2";"0";"0";"0";"0ns";"-20"
"slub_flushwq";"5";"I";"2";"0";"0";"0";"0ns";"-20"
"netns";"6";"I";"2";"0";"0";"0";"0ns";"-20"
"kworker/0:0H-events_highpri";"8";"I";"2";"0";"0";"0";"0ns";"-20"
"mm_percpu_wq";"10";"I";"2";"0";"0";"0";"0ns";"-20"
"rcu_tasks_kthread";"11";"I";"2";"20";"0";"0";"0ns";"0"
"rcu_tasks_rude_kthread";"12";"I";"2";"20";"0";"0";"0ns";"0"
"rcu_tasks_trace_kthread";"13";"I";"2";"20";"0";"0";"0ns";"0"
"ksoftirqd/0";"14";"S";"2";"20";"0";"0";"0ns";"0"
"rcu_preempt";"15";"I";"2";"20";"0";"0";"1s";"0"
"migration/0";"16";"S";"2";"-100";"0";"0";"0ns";"0"
"idle_inject/0";"17";"S";"2";"-51";"0";"0";"0ns";"0"
"cpuhp/0";"19";"S";"2";"20";"0";"0";"0ns";"0"
"cpuhp/1";"20";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/1";"21";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/1";"22";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/1";"23";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/1:0H-events_highpri";"25";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/2";"26";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/2";"27";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/2";"28";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/2";"29";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/2:0H-events_highpri";"31";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/3";"32";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/3";"33";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/3";"34";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/3";"35";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/3:0-events";"36";"I";"2";"20";"0";"0";"0ns";"0"
"kworker/3:0H-events_highpri";"37";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/4";"38";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/4";"39";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/4";"40";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/4";"41";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/4:0H-events_highpri";"43";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/5";"44";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/5";"45";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/5";"46";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/5";"47";"S";"2";"20";"0";"0";"4s";"0"
"kworker/5:0H-events_highpri";"49";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/6";"50";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/6";"51";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/6";"52";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/6";"53";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/6:0H-events_highpri";"55";"I";"2";"0";"0";"0";"0ns";"-20"
"cpuhp/7";"56";"S";"2";"20";"0";"0";"0ns";"0"
"idle_inject/7";"57";"S";"2";"-51";"0";"0";"0ns";"0"
"migration/7";"58";"S";"2";"-100";"0";"0";"0ns";"0"
"ksoftirqd/7";"59";"S";"2";"20";"0";"0";"0ns";"0"
"kworker/7:0H-kblockd";"61";"I";"2";"0";"0";"0";"0ns";"-20"
"kdevtmpfs";"62";"S";"2";"20";"0";"0";"0ns";"0"
"inet_frag_wq";"63";"I";"2";"0";"0";"0";"0ns";"-20"
"kauditd";"64";"S";"2";"20";"0";"0";"0ns";"0"
"khungtaskd";"65";"S";"2";"20";"0";"0";"0ns";"0"
"oom_reaper";"67";"S";"2";"20";"0";"0";"0ns";"0"
"writeback";"69";"I";"2";"0";"0";"0";"0ns";"-20"
"kcompactd0";"70";"S";"2";"20";"0";"0";"0ns";"0"
